,CommitID,Date,Dockerfiles,Status
0,784e896a5d09a6e5139926936b897ee779fcce77,Tue Sep 8 16:07:10 2020 +0000,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
","M
M
M
M
"
1,f326d2a8970649cd6308f7a8f0467eeb5c6fc4f8,Tue Aug 11 16:07:12 2020 +0000,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
","M
M
M
M
"
2,7823435728677cc516632de760e8686c96aaa8f9,Tue Aug 4 21:00:11 2020 +0000,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
","M
M
M
M
"
3,dbe6fb9d22376d6067d5e4fc1f0558733e291823,Tue Aug 4 13:59:44 2020 -0700,,
4,982b958afa27ca6d28ce2363199012ca781eee9d,Wed Jul 29 04:07:13 2020 +0000,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
","M
M
M
M
"
5,5aae3993d41aaeec6244ed4a06de51d73e250700,Tue Jun 16 10:24:45 2020 -0700,,
6,330ab82636936204379b6606fe74087215759d04,Mon Jun 15 17:22:27 2020 -0700,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
","M
M
M
M
"
7,0ec5c7e47faf1a2afbebe11ea6e180b14997383b,Mon Jun 15 17:21:30 2020 -0700,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
Dockerfile-slim.template
Dockerfile.template
","M
M
M
M
M
M
"
8,e0c83d88b9a4e9ed5ee93bc914b03df2771df6ac,Mon Jun 15 15:49:57 2020 -0700,,
9,61bb08218bb796dc8aece3328f66a39ffaeda394,Mon Jun 15 09:54:10 2020 -0700,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
Dockerfile-slim.template
Dockerfile.template
","M
M
M
M
M
M
"
10,709d8823acade04e6b67b685311642892e9d582e,Wed Jun 10 14:28:58 2020 -0700,,
11,dce4b542d3be0ecf928cb4d7640ed6173546443b,Wed Jun 10 09:04:35 2020 -0700,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
Dockerfile-slim.template
Dockerfile.template
","M
M
M
M
M
M
"
12,e335b7b193bb4c08c03804454ecc08950ce3f541,Tue Apr 28 18:02:40 2020 -0700,,
13,753f365d94ee84c4830fe8b156272844aaee390d,Tue Apr 28 15:56:54 2020 -0700,,
14,341c9d1ec611e8a1bb6e4dc6467155ee67a628e9,Wed Apr 22 07:27:14 2020 -0700,,
15,30385f19542aa8bdcca7fb2f7a9a18786e9e8f17,Wed Apr 22 07:17:06 2020 -0700,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
Dockerfile-slim.template
Dockerfile.template
","M
M
M
M
M
M
"
16,7a30994ea1b69c9b13b783e4be667a704b16a4ba,Fri Apr 10 15:07:19 2020 -0700,,
17,ac6a989a09815fc6ff38da92ea1154bc048caae3,Fri Apr 10 13:52:34 2020 -0700,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
Dockerfile-slim.template
","M
M
M
M
M
"
18,85361ddf3befb1b2ba96ed6ffe04cdb65744cffd,Thu Feb 13 15:21:35 2020 -0800,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
","M
M
M
M
"
19,2572c5b05aa32c9b99c0a67440af81cdf6bd1c4b,Thu Feb 13 17:07:28 2020 +0000,"2.7/Dockerfile
2.7/slim/Dockerfile
3.6/Dockerfile
3.6/slim/Dockerfile
","M
M
M
M
"
