,CommitID,Date,Dockerfiles,Status
0,c31257470412a5e7063d47da22f4597399b19559,Thu Jul 23 12:35:48 2020 +0800,"4.1/alpine3.10/Dockerfile
4.1/alpine3.11/Dockerfile
4.1/alpine3.12/Dockerfile
4.1/alpine3.9/Dockerfile
4.1/buster/Dockerfile
4.1/windowsservercore-1809/Dockerfile
4.1/windowsservercore-ltsc2016/Dockerfile
","M
M
M
M
M
M
M
"
1,5435ffe6af1efe9857781ab43230a7fbcb31d8f9,Thu Jul 23 12:32:14 2020 +0800,"3.1/jessie/Dockerfile
3.2/jessie/Dockerfile
3.3/jessie/Dockerfile
3.4/jessie/Dockerfile
4.0/jessie/Dockerfile
Dockerfile-jessie.template
","D
D
D
D
D
D
"
2,67a93ba387bc4642cd0f52d780d31c60d09fe095,Mon Jul 6 23:18:46 2020 +0800,"4.1/alpine3.10/Dockerfile
4.1/alpine3.11/Dockerfile
4.1/alpine3.12/Dockerfile
4.1/alpine3.9/Dockerfile
4.1/buster/Dockerfile
4.1/stretch/Dockerfile
4.1/windowsservercore-1809/Dockerfile
4.1/windowsservercore-ltsc2016/Dockerfile
","M
M
M
M
M
M
M
M
"
3,d902612570437c75dc21b83b6fe0afd39a8c260d,Sat May 30 14:10:39 2020 +0800,"3.2/alpine3.12/Dockerfile
3.3/alpine3.12/Dockerfile
3.4/alpine3.12/Dockerfile
4.0/alpine3.12/Dockerfile
4.1/alpine3.12/Dockerfile
Dockerfile-alpine3.12.template
","A
A
A
A
A
A
"
4,6772bc5b3902298aacfa66921d889a41d92eb515,Sat May 30 14:01:53 2020 +0800,"3.2/alpine3.8/Dockerfile
3.3/alpine3.8/Dockerfile
3.4/alpine3.8/Dockerfile
4.0/alpine3.8/Dockerfile
4.1/alpine3.8/Dockerfile
Dockerfile-alpine3.8.template
","D
D
D
D
D
D
"
5,39a91a1e98f9a27d6e7b596d26da437a2c4d71d3,Sun May 24 13:13:24 2020 +0800,,
6,b54cd8b790062146160d9d9c246985dfb4ae8e18,Sun May 24 13:07:19 2020 +0800,,
7,b0a6d391947d9ed64cfb95437509e989ea53ebe3,Sun May 24 13:06:07 2020 +0800,"4.1/alpine3.10/Dockerfile
4.1/alpine3.11/Dockerfile
4.1/alpine3.8/Dockerfile
4.1/alpine3.9/Dockerfile
4.1/buster/Dockerfile
4.1/stretch/Dockerfile
4.1/windowsservercore-1809/Dockerfile
4.1/windowsservercore-ltsc2016/Dockerfile
","M
M
M
M
M
M
M
M
"
8,1f586bf85c12ce5c9300f24079912b94c73bc3f7,Thu May 21 23:26:45 2020 +0800,"3.2/buster/Dockerfile
3.3/buster/Dockerfile
3.4/buster/Dockerfile
4.0/buster/Dockerfile
4.1/buster/Dockerfile
Dockerfile-buster.template
","M
M
M
M
M
M
"
9,e57329c158b19f881c57a0496afbaf4446895fca,Thu May 21 23:01:49 2020 +0800,"3.1/stretch/Dockerfile
3.2/alpine3.10/Dockerfile
3.2/alpine3.11/Dockerfile
3.2/buster/Dockerfile
3.2/stretch/Dockerfile
3.3/alpine3.10/Dockerfile
3.3/alpine3.11/Dockerfile
3.3/buster/Dockerfile
3.3/stretch/Dockerfile
3.4/alpine3.10/Dockerfile
3.4/alpine3.11/Dockerfile
3.4/buster/Dockerfile
3.4/stretch/Dockerfile
4.0/alpine3.10/Dockerfile
4.0/alpine3.11/Dockerfile
4.0/buster/Dockerfile
4.0/stretch/Dockerfile
4.1/alpine3.10/Dockerfile
4.1/alpine3.11/Dockerfile
4.1/buster/Dockerfile
4.1/stretch/Dockerfile
Dockerfile-alpine3.10.template
Dockerfile-alpine3.11.template
Dockerfile-buster.template
Dockerfile-stretch.template
","M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
M
"
10,5d35da73d96a51e0616f55f9ba423bf3277730a9,Thu May 21 22:45:03 2020 +0800,,
11,9452cd39492aae3456889ac6ba92072dd73ad19f,Thu May 21 22:20:57 2020 +0800,"4.0/alpine3.8/Dockerfile
4.0/alpine3.9/Dockerfile
4.1/alpine3.8/Dockerfile
4.1/alpine3.9/Dockerfile
Dockerfile-alpine3.8.template
Dockerfile-alpine3.9.template
","M
M
M
M
M
M
"
12,bf02021c6d7938b000481a0878d029c5816437f8,Thu May 21 21:52:25 2020 +0800,"3.2/alpine3.8/Dockerfile
3.2/alpine3.9/Dockerfile
3.3/alpine3.8/Dockerfile
3.3/alpine3.9/Dockerfile
3.4/alpine3.8/Dockerfile
3.4/alpine3.9/Dockerfile
4.0/alpine3.8/Dockerfile
4.0/alpine3.9/Dockerfile
4.1/alpine3.8/Dockerfile
4.1/alpine3.9/Dockerfile
Dockerfile-alpine3.8.template
Dockerfile-alpine3.9.template
","M
M
M
M
M
M
M
M
M
M
M
M
"
13,da6d0bd5b14b731a102c2487320da831ba9c81bb,Thu May 21 20:42:33 2020 +0800,"4.0/alpine3.8/Dockerfile
4.0/alpine3.9/Dockerfile
4.1/alpine3.8/Dockerfile
4.1/alpine3.9/Dockerfile
Dockerfile-alpine3.8.template
Dockerfile-alpine3.9.template
","M
M
M
M
M
M
"
