,CommitID,Date,Dockerfiles,Status
0,184d0e7687beb67e227d1ce2e0ab79a357613566,Tue Aug 4 11:04:13 2020 +0000,"19.03-rc/Dockerfile
","M
"
1,4f5b0cb5438527c6913a943ae07b4d2b1eaa8393,Fri Jul 31 11:04:12 2020 +0000,"19.03-rc/Dockerfile
19.03-rc/dind/Dockerfile
","M
M
"
2,1c7a3217b3ea847cdf5900172ba864a289210377,Tue Jul 28 09:54:44 2020 -0700,,
3,399f205733e0162fe6f6529fad8f2231b843606e,Tue Jul 28 16:52:42 2020 +0900,"19.03-rc/dind-rootless/Dockerfile
19.03/dind-rootless/Dockerfile
Dockerfile-dind-rootless.template
","M
M
M
"
4,93c19dff54de9876f736b3aa8026be5ad5987388,Thu Jul 16 17:04:11 2020 +0000,"19.03/dind/Dockerfile
","M
"
5,86f7f4b563c7c6fe4620c5a8d82694a78f41989f,Thu Jun 25 16:18:33 2020 +0000,"19.03/Dockerfile
","M
"
6,8fe469c62af39646db99bf1de7ae65a3eb66f40f,Tue Jun 9 14:17:40 2020 -0700,,
7,e5a756b0ec673ec96db37afeb09e6c16b9962476,Mon Jun 1 14:36:53 2020 -0700,,
8,eb305f71421bf772cfac2a46571280ff90f60033,Mon Jun 1 14:30:11 2020 -0700,"19.03-rc/Dockerfile
19.03/Dockerfile
","M
M
"
9,1e1315f53a45ee2563afb97880feadfad2eb3059,Mon Jun 1 15:24:53 2020 +0000,"19.03/Dockerfile
","M
"
10,23814eff7f7e45a8fb5898740cabf24e377c64c4,Fri May 29 05:04:11 2020 +0000,"19.03/Dockerfile
","M
"
11,cdd23554f9417055ca2a18805fa9ad5716209934,Tue May 19 23:04:14 2020 +0000,"19.03/Dockerfile
","M
"
12,7b007426ede87fa4c0cb8b4fe7141a23c4f583a8,Mon May 4 11:16:37 2020 -0700,,
13,a73d96e731e2dd5d6822c99a9af4dcbfbbedb2be,Tue Apr 28 03:00:19 2020 +1000,,
14,db82a88dc3babfa7a78a9d695554221b6bc8b51b,Tue Apr 28 18:16:13 2020 -0700,,
15,66fafcf390a5600ce137c5a5d5f03268016d8ffc,Tue Apr 28 14:46:00 2020 -0700,,
16,0bab8e3d0ebe6dc4b7a122bb1d0b2e017925c50d,Wed Mar 11 20:34:06 2020 +0000,"19.03/Dockerfile
","M
"
17,44f7608f2d02768eb094cd99620862f918f18b12,Wed Mar 11 13:04:53 2020 -0700,,
18,25c81c65fe4e971ff75e67df38e8b9970b523f6e,Mon Mar 9 15:53:53 2020 -0700,"19.03-rc/dind-rootless/Dockerfile
19.03/dind-rootless/Dockerfile
Dockerfile-dind-rootless.template
","M
M
M
"
19,31f133d68faff244330ac2008d6330f6ace19951,Wed Mar 4 06:04:12 2020 +0000,"19.03/Dockerfile
","M
"
20,3dc42d46491d14b9b87f553bd46a45954ecec8ea,Thu Feb 13 06:04:10 2020 +0000,"19.03/Dockerfile
","M
"
21,df26619941aa386d4b446f2e07a080d71da22640,Thu Feb 6 23:53:40 2020 +0000,"19.03-rc/Dockerfile
","M
"
22,090d01706bf1567a0bdc54579ece5f8b8ee77bef,Tue Jan 28 12:04:11 2020 +0000,"19.03-rc/Dockerfile
","M
"
23,356175627e220b4bd8f4e9201e075ee3431ce081,Thu Jan 2 16:49:20 2020 -0800,,
24,4d5e4e2fcd2c5279a747e9ac221fb2442da53dec,Thu Jan 2 16:04:36 2020 -0800,,
25,be0caca75198256bb7aefd81f820ab08c37a75f5,Thu Jan 2 15:48:26 2020 -0800,,
26,9c726fa98bc90dec3d2b0dcd3fa00329b1967b98,Mon Dec 23 09:58:39 2019 -0800,,
27,a4b5e1b043432fc16fbe983a4bb2e1a004db2aca,Mon Dec 23 09:50:34 2019 -0800,"19.03-rc/Dockerfile
19.03/Dockerfile
","M
M
"
28,947e37ea0d56b81b01cb50b603dfd96fa82bc455,Wed Dec 18 14:37:14 2019 -0800,,
29,cd0099524944dd1ad368421ec042e0ec9ef53a47,Wed Dec 18 19:31:47 2019 +0900,"19.03-rc/dind-rootless/Dockerfile
19.03/dind-rootless/Dockerfile
Dockerfile-dind-rootless.template
","M
M
M
"
30,566493153104b7d27004c3de07b31dffdd45b91b,Tue Dec 10 12:26:07 2019 -0800,,
31,7a67842e7ff12c1426ae6a67ac1b7a701b51f3df,Mon Dec 9 16:06:45 2019 -0800,"19.03-rc/Dockerfile
19.03-rc/git/Dockerfile
19.03/Dockerfile
19.03/git/Dockerfile
Dockerfile-git.template
Dockerfile.template
","M
M
M
M
M
M
"
32,ffff699154f81587f7d0b42d057a03adce156acb,Fri Nov 15 10:02:26 2019 -0800,,
33,cbe1c220b3d43715ddd712cf93e8fb2e3c32429c,Fri Nov 15 20:30:09 2019 +0900,"19.03-rc/dind-rootless/Dockerfile
19.03/dind-rootless/Dockerfile
Dockerfile-dind-rootless.template
","M
M
M
"
34,85dac86564e6f3aae2b508714c6ba94f530eb07b,Thu Nov 14 19:31:26 2019 +0000,"19.03/Dockerfile
","M
"
35,5962a31de0ccebb93826e621dd9844daaae3d3a0,Wed Nov 6 12:04:15 2019 +0000,"19.03-rc/Dockerfile
","M
"
36,b3cd7c227ec0d1713229a74547628afeb27c2456,Tue Nov 5 12:04:11 2019 +0000,"19.03-rc/Dockerfile
","M
"
37,21b17056a748a279997729c7d26ddb23e4fe5d5e,Wed Oct 30 05:04:48 2019 +0000,"19.03-rc/Dockerfile
","M
"
38,4dd3f3fe1f263ea74cdc8bed6091008cf62ab751,Sat Oct 19 05:04:18 2019 +0000,"19.03/Dockerfile
","M
"
39,7029ccd48e2460d9f0af5536e71f91e6aa5dc195,Mon Oct 14 23:04:11 2019 +0000,"19.03-rc/Dockerfile
","M
"
40,26776e4ba14319287192459ed1f5a1fef30aa5e8,Tue Oct 8 19:04:27 2019 +0000,"19.03/Dockerfile
","M
"
41,15fe6544ed83626723576592e0f9e2d72c4d38c7,Wed Oct 2 23:00:51 2019 +0000,"19.03-rc/Dockerfile
","M
"
42,b46944d11838bbe43db28889252ac03d592cb8c4,Sat Sep 28 11:04:18 2019 +0000,"19.03-rc/Dockerfile
","M
"
43,05aca4c5f05b578344b9e06164ee1eae7ac6f92b,Tue Sep 24 11:04:09 2019 +0000,"19.03-rc/Dockerfile
","M
"
