,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID
54,3b33871fe9558262cb5ed6253d358f76710e9ccb,7/Dockerfile,7/Dockerfile,"# TODO make[2]: *** No rule to make target '/usr/src/gcc/gcc/sync-builtinsndef', needed by 'tree-ssa-loop-prefetch.o'.  Stop.
# (which the builds takes _forever_ to get to)",2017-06-16 17:45:38+00:00,2017-05-02 09:38:06-07:00,2020-05-07 21:19:05-07:00,7/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
55,3b33871fe9558262cb5ed6253d358f76710e9ccb,7/Dockerfile,7/Dockerfile,"# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",2017-06-16 17:45:38+00:00,2017-05-02 09:38:06-07:00,2020-05-07 21:19:05-07:00,7/Dockerfile,2020-05-07 21:19:05-07:00,36b9d231538ff0b3685b1e36503e472ee62c0d15
53,3b33871fe9558262cb5ed6253d358f76710e9ccb,7/Dockerfile,7/Dockerfile,# TODO get enough builders to test and verify arm32v5 O:),2017-06-16 17:45:38+00:00,2017-05-02 09:38:06-07:00,2020-05-07 21:19:05-07:00,7/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
52,3b33871fe9558262cb5ed6253d358f76710e9ccb,6/Dockerfile,6/Dockerfile,"# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",2017-06-16 17:45:38+00:00,2016-09-16 13:48:23-07:00,2020-05-07 06:15:46-07:00,6/Dockerfile,2020-05-07 06:15:46-07:00,48d2a53ebfd92b203c11650db203ce35901ee122
51,3b33871fe9558262cb5ed6253d358f76710e9ccb,6/Dockerfile,6/Dockerfile,"# TODO make[2]: *** No rule to make target '/usr/src/gcc/gcc/sync-builtinsndef', needed by 'tree-ssa-loop-prefetch.o'.  Stop.
# (which the builds takes _forever_ to get to)",2017-06-16 17:45:38+00:00,2016-09-16 13:48:23-07:00,2020-05-07 06:15:46-07:00,6/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
50,3b33871fe9558262cb5ed6253d358f76710e9ccb,6/Dockerfile,6/Dockerfile,# TODO get enough builders to test and verify arm32v5 O:),2017-06-16 17:45:38+00:00,2016-09-16 13:48:23-07:00,2020-05-07 06:15:46-07:00,6/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
61,3b33871fe9558262cb5ed6253d358f76710e9ccb,5/Dockerfile,5/Dockerfile,"# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",2017-06-16 17:45:38+00:00,2015-12-14 17:34:58-06:00,2019-05-03 15:14:19-07:00,5/Dockerfile,2019-05-03 15:14:19-07:00,c2066bb89cc5ebb64ae3562e507e5d6551007088
60,3b33871fe9558262cb5ed6253d358f76710e9ccb,5/Dockerfile,5/Dockerfile,"# TODO make[2]: *** No rule to make target '/usr/src/gcc/gcc/sync-builtinsndef', needed by 'tree-ssa-loop-prefetch.o'.  Stop.
# (which the builds takes _forever_ to get to)",2017-06-16 17:45:38+00:00,2015-12-14 17:34:58-06:00,2019-05-03 15:14:19-07:00,5/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
59,3b33871fe9558262cb5ed6253d358f76710e9ccb,5/Dockerfile,5/Dockerfile,# TODO get enough builders to test and verify arm32v5 O:),2017-06-16 17:45:38+00:00,2015-12-14 17:34:58-06:00,2019-05-03 15:14:19-07:00,5/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
15,0a7f7464baaa3a24cdd35e1173d84ab94e32a14d,8/Dockerfile,8/Dockerfile,"# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",2018-05-02 19:26:07+00:00,2018-05-02 12:26:07-07:00,,8/Dockerfile,,
56,3b33871fe9558262cb5ed6253d358f76710e9ccb,4.9/Dockerfile,4.9/Dockerfile,# TODO get enough builders to test and verify arm32v5 O:),2017-06-16 17:45:38+00:00,2014-08-25 16:40:32-06:00,2017-09-29 11:05:21-07:00,4.9/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
57,3b33871fe9558262cb5ed6253d358f76710e9ccb,4.9/Dockerfile,4.9/Dockerfile,"# TODO make[2]: *** No rule to make target '/usr/src/gcc/gcc/sync-builtinsndef', needed by 'tree-ssa-loop-prefetch.o'.  Stop.
# (which the builds takes _forever_ to get to)",2017-06-16 17:45:38+00:00,2014-08-25 16:40:32-06:00,2017-09-29 11:05:21-07:00,4.9/Dockerfile,2017-09-28 17:35:04+00:00,1539ed62d45cbd1e2a4d0c3e94c07ca2acdb914a
58,3b33871fe9558262cb5ed6253d358f76710e9ccb,4.9/Dockerfile,4.9/Dockerfile,"# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",2017-06-16 17:45:38+00:00,2014-08-25 16:40:32-06:00,2017-09-29 11:05:21-07:00,4.9/Dockerfile,2017-09-29 11:05:21-07:00,497fdbb37dbfc0829b5821594b68ef24d9f4f72c
98,067197794df278e6be14a76a3e0ec80e9ad86941,9/Dockerfile,9/Dockerfile,"# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",2019-05-03 22:11:34+00:00,2019-05-04 00:11:34+02:00,,9/Dockerfile,,
87,97b046b578bd86cae5414d80b3ad0027c590aebd,10/Dockerfile,10/Dockerfile,"# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",2020-05-07 20:24:08+00:00,2020-05-07 13:24:08-07:00,,10/Dockerfile,,
