,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,logIndex,DeletedComment Date,Deleted CommitID,Deleted Filename
26,5dd425e5b74a02bde63257e56c2bb67cbae74686,18.09-rc/Dockerfile,18.09/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2018-08-22 21:02:26+00:00,2018-08-22 14:02:26-07:00,2020-06-09 14:17:40-07:00,18.09-rc/Dockerfile,210,2020-06-09 14:17:40-07:00,8fe469c62af39646db99bf1de7ae65a3eb66f40f,18.09/Dockerfile
27,5dd425e5b74a02bde63257e56c2bb67cbae74686,18.09-rc/Dockerfile,18.09/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2018-08-22 21:02:26+00:00,2018-08-22 14:02:26-07:00,2020-06-09 14:17:40-07:00,18.09-rc/Dockerfile,210,2020-06-09 14:17:40-07:00,8fe469c62af39646db99bf1de7ae65a3eb66f40f,18.09/Dockerfile
2,690c2cedc6c5e8a47507240b7d8a39a19f03bae6,18.02-rc/Dockerfile,18.02-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2018-01-25 17:44:20+00:00,2018-01-25 09:44:20-08:00,2018-02-08 09:29:32-08:00,18.02-rc/Dockerfile,313,2018-02-08 09:29:32-08:00,157869f94ea90e2acb4d0f77045d99079ead821c,18.02-rc/Dockerfile
3,690c2cedc6c5e8a47507240b7d8a39a19f03bae6,18.02-rc/Dockerfile,18.02-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2018-01-25 17:44:20+00:00,2018-01-25 09:44:20-08:00,2018-02-08 09:29:32-08:00,18.02-rc/Dockerfile,313,2018-02-08 09:29:32-08:00,157869f94ea90e2acb4d0f77045d99079ead821c,18.02-rc/Dockerfile
4,690c2cedc6c5e8a47507240b7d8a39a19f03bae6,18.02-rc/dind/Dockerfile,18.06/dind/Dockerfile,# TODO aufs-tools,2018-01-25 17:44:20+00:00,2018-01-25 09:44:20-08:00,2019-06-14 14:03:15-07:00,18.02-rc/dind/Dockerfile,313,2019-06-14 14:03:15-07:00,d31c2d38a7ef9b58c34d35d64f168f9d5cd6a696,18.06/dind/Dockerfile
50,bc5d62520258cacb230485ee96754f9f9aa117c4,18.03/dind/Dockerfile,18.06/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,2018-05-08 18:15:19+00:00,2018-01-25 09:44:20-08:00,2019-06-14 14:03:15-07:00,18.03/dind/Dockerfile,261,2019-06-14 14:03:15-07:00,d31c2d38a7ef9b58c34d35d64f168f9d5cd6a696,18.06/dind/Dockerfile
329,a98e0c42a96497670c36f4b2dcad2bcc81f18f35,1.7/dind/Dockerfile,17.09/dind/Dockerfile,# TODO aufs-tools,2015-08-06 19:55:13+00:00,2015-08-06 12:55:13-07:00,2018-02-08 09:29:32-08:00,1.7/dind/Dockerfile,868,2018-02-08 09:29:32-08:00,157869f94ea90e2acb4d0f77045d99079ead821c,17.09/dind/Dockerfile
414,168a6d227d021c6d38c3986b7c668702ec172fa7,17.06/dind/Dockerfile,17.06/dind/Dockerfile,# TODO aufs-tools,2017-09-29 17:02:06+00:00,2017-09-29 10:02:06-07:00,2017-11-08 06:45:21-08:00,17.06/dind/Dockerfile,453,2017-11-08 06:45:21-08:00,fc032db99e903fd80be9b32ab99361650624d4cd,17.06/dind/Dockerfile
330,a98e0c42a96497670c36f4b2dcad2bcc81f18f35,1.8-rc/dind/Dockerfile,17.12/dind/Dockerfile,# TODO aufs-tools,2015-08-06 19:55:13+00:00,2015-08-06 12:55:13-07:00,2018-05-10 09:18:25-07:00,1.8-rc/dind/Dockerfile,868,2018-05-10 09:18:25-07:00,cf3d3343f291146f9b79ccafa725a9bb28257ea0,17.12/dind/Dockerfile
54,bc5d62520258cacb230485ee96754f9f9aa117c4,17.12/dind/Dockerfile,17.12/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,2018-05-08 18:15:19+00:00,2015-08-06 12:55:13-07:00,2018-05-10 09:18:25-07:00,17.12/dind/Dockerfile,261,2018-05-10 09:18:25-07:00,cf3d3343f291146f9b79ccafa725a9bb28257ea0,17.12/dind/Dockerfile
