,CommitID,Dockerfile,Comment,isSATD
1,336871eaeddbf2e61ba3ca61cad33221f83cc710,/4.2/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
5,a499e81e743b05a5237e2fd700c0284b17d3d416,/3.4/Dockerfile,"# TODO some sort of download verification here
",1
11,5ab118c15c474192dc6ab058e5cb370b73ced636,/3.4/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
15,e38e0e830c833d5bab401cd0f37fcb0eadbd3577,/3.6/Dockerfile,"# TODO some sort of download verification here
",1
19,661b031e03bac189ec0c417bc2123934776e0dff,/3.4/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
24,539531fe3e82b87cc80d4b20cd3065f00404c8bd,/3.6/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
28,87c1f8dcad39836c90fd1d53eedf502e978e2437,/3.7/windows/windowsservercore-1709/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
30,b380604c031e2e13884538fead9780ea77ce2b59,/3.5/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
32,3fd2ca2e905e3b826e0244bb73a55e61e8db298e,/3.5/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
36,3f48545032b682a2d2a4a762a91ac9bcd72d98a2,/3.4/Dockerfile,"# TODO some sort of download verification here
",1
48,8f74a37591685bd5ed82264b969fb77c38d1f83f,/Dockerfile-windows.template,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
50,d7084920a1d3db7f50fc352c1c879845e36e48a6,/4.0-rc/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
52,2754d33460e0bfe196dccdccf9a8ff2b43816d00,/3.4/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
54,812b8fb401a929c312c7222a26b707a6415450c6,/3.4/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
56,d688c16b4520f3a86d343843855fe8ea6b6f4539,/4.2/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
58,daeeeccd0edd110e6341ba3ee2d699caf885fbce,/3.4/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
60,ad76919032cbf64cb979b96f672d7592298f2e5d,/4.1/windows/windowsservercore-1803/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
69,c60938f89c4138a5417724a5b9eaeb2d4cbe4c23,/3.4/Dockerfile,"# TODO some sort of download verification here
",1
74,3a24899310fb12d7b8329d27f847f828857d2213,/3.4-rc/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
79,5d96dd695457f62e590a7ed100336deec2330617,/4.4-rc/Dockerfile,"# TODO some sort of download verification here
",1
88,c6d7e7fb21b03905c4796293f9bdbba5227acd75,/3.6/Dockerfile,"# TODO some sort of download verification here
",1
94,afe182ef973b2216440ea843b4135e9af2cdd9c4,/4.0/Dockerfile,"# TODO some sort of download verification here
",1
101,b14488cc180a9a1c911cf96db0aadfcc6bea1833,/4.2-rc/Dockerfile,"# TODO some sort of download verification here
",1
107,b1c209cdd9b890cd62e85a2c7055fb8f00c7d248,/4.0/Dockerfile,"# TODO some sort of download verification here
",1
112,18081c4daf5ecf72beee4a77343e961e6cf38ecd,/3.4/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
122,afe182ef973b2216440ea843b4135e9af2cdd9c4,/3.2/Dockerfile,"# TODO some sort of download verification here
",1
135,555063ae098c1f850d699bd841f07e3161b1039a,/4.2/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
140,c58c418b46908e255700bdb62517fdd96afac9c5,/4.0/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
145,3ec50f2f7ae9fd2c824682bc08d07a093bbdb521,/4.2/Dockerfile,"# TODO some sort of download verification here
",1
154,3fecc7f8e812d9dc8b03e83f47bfe544442ad9a3,/4.4-rc/Dockerfile,"# TODO some sort of download verification here
",1
164,03b049460f0228783e8cfe7af4a386965dcedb80,/4.2/Dockerfile,"# TODO some sort of download verification here
",1
172,19cbd61ef1f67456e062ddb1a5a2ce3c75ff063b,/3.7/windows/windowsservercore-1709/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
176,657b1a53a9680b972a6344f3d958a17775dd8719,/3.6/Dockerfile,"# TODO some sort of download verification here
",1
196,825473ffe6ad5fd14de11260af489a4089473d21,/4.2-rc/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
198,6e4f9aebd519141a0f8dffbdb2a9502e668c3bd7,/4.0/windows/windowsservercore-1803/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
202,0f728ae1696117f7c244aa4dbe0d4e31b48c16b4,/3.0/windows/windowsservercore/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")

",1
