,CommitID,Dockerfile,Comment,isSATD
0,13958ae4bb03fdbd7bc29ae276a754ebee841572,/18.09-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",1
1,13958ae4bb03fdbd7bc29ae276a754ebee841572,/18.09-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
4,690c2cedc6c5e8a47507240b7d8a39a19f03bae6,/18.02-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",1
5,690c2cedc6c5e8a47507240b7d8a39a19f03bae6,/18.02-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
21,67a8b4525f03bf3b7228c9f4b7e506825c9ecbf0,/17.09/dind/Dockerfile,# TODO aufs-tools,1
26,84fbcfc4cbef254dce2e7ecd7fcff788da4690df,/18.06-rc/dind/Dockerfile,# TODO aufs-tools,1
28,84fbcfc4cbef254dce2e7ecd7fcff788da4690df,/18.06-rc/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,1
29,c01ffa41486f70c34f020c769bc5bddf106367ea,/19.03-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",1
30,c01ffa41486f70c34f020c769bc5bddf106367ea,/19.03-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
39,9a1feddfc856278e289035da7a29fd218bc12d78,/17.12-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",1
40,9a1feddfc856278e289035da7a29fd218bc12d78,/17.12-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
44,eb305f71421bf772cfac2a46571280ff90f60033,/19.03/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",1
45,eb305f71421bf772cfac2a46571280ff90f60033,/19.03/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
54,5dd425e5b74a02bde63257e56c2bb67cbae74686,/18.09-rc/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",1
55,5dd425e5b74a02bde63257e56c2bb67cbae74686,/18.09-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
61,2f6926c4fb37274b90fae3ba6c3320619a8d0289,/17.07/windows/windowsservercore/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
66,bc5d62520258cacb230485ee96754f9f9aa117c4,/18.05-rc/dind/Dockerfile,# TODO aufs-tools,1
68,bc5d62520258cacb230485ee96754f9f9aa117c4,/18.05-rc/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,1
72,6e7677bec19c214ef5445c0d2b96c56e42098ca1,/17.11-rc/windows/windowsservercore/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
75,737f83092a47b012d09a0cbf0ed72759550301cb,/1.13-rc/experimental/dind/Dockerfile,# TODO aufs-tools,1
78,252695b88bf6c0e2914ca20b1f00a2ad0a2bfef3,/19.03/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",1
79,252695b88bf6c0e2914ca20b1f00a2ad0a2bfef3,/19.03/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
87,299e01eaf7185fd94f1c6b59c365867695caa828,/1.2/dind/Dockerfile,# TODO aufs-tools,1
88,b39a2369d4017d89c6f369a63be5d59011d88fd5,/17.06-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
94,42a505379852819393f6a904eef3b1943070bf56,/18.09-rc/dind/Dockerfile,# TODO aufs-tools,1
96,42a505379852819393f6a904eef3b1943070bf56,/18.09-rc/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,1
100,2aa6d388f205fc20ad22402bfed4ece715c7cb48,/17.09/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
103,2cb09b0ef6c80a3e8bffd23a54826d229301cfc2,/17.03/dind/Dockerfile,# TODO aufs-tools,1
106,31f5524efb43f05f57663c91de40be788c9d35a4,/1.9/dind/Dockerfile,# TODO aufs-tools,1
108,05912c526779e0d72c0f8486854fa3e78fd546d2,/1.12-rc/dind/Dockerfile,# TODO aufs-tools,1
110,f65cd60d5865343e96e33dc9fbab92868f671431,/17.06-rc/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",1
