,CommitID,Dockerfiles,Comments,isSATD
13,33ab939e44d162ce4cfb8c20ec5a5a82387d3922,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
28,00bcc79e07af4aea50621425aa110072afc4e802,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
48,ced15f9e787dde6d7559819896bf322ef9a9fa17,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
63,1cba114f0e65c5149e2a4757a58c2d9066065c2c,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
91,11b7cf142a0033f8e337a096c65a907cf7190aef,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
128,6abb561342b5043452a1c7cc46616f21182e5cbd,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
130,6abb561342b5043452a1c7cc46616f21182e5cbd,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
208,a578a965d5dbdfeac8a930e6ea73c8ff31ea734e,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
211,a578a965d5dbdfeac8a930e6ea73c8ff31ea734e,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
227,2a2584ea8edb91065217e3f2a8d99e64e991445b,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
249,9e13320bcdfd8345dbd5abc2f3aa585ba054263d,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
261,405fdf9d7284ac858d9336ff446c58d22350edf7,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
263,405fdf9d7284ac858d9336ff446c58d22350edf7,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
276,c3600896bbc9162224120d07af49832d44595cf0,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
278,c3600896bbc9162224120d07af49832d44595cf0,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
309,04e21c62babcf0c506214802479c831d40739e70,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
323,302c5f9b5c566049bd8b48ccaa227923a04ac373,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
353,6631c268234dd5e46f93e930c4072a4d31dd4364,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
355,6631c268234dd5e46f93e930c4072a4d31dd4364,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
386,239cc227052dc8987196ea32777c84b0c6e35781,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
419,16255096917f02b6bceae05bd0ae75f8588cc920,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
421,16255096917f02b6bceae05bd0ae75f8588cc920,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
441,6ec0b519070be82bc0bf5abe2a54b2c1967e51f4,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
450,95486edc5e6459f3c9106aaf8f7add2ea9d50e38,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
452,95486edc5e6459f3c9106aaf8f7add2ea9d50e38,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
468,012c08e40a2a4b5bca43ea037c72a3f3bb037c3f,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
470,012c08e40a2a4b5bca43ea037c72a3f3bb037c3f,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
487,6c9a32486e5797ac110d51099abf38bf1f81c451,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
490,6c9a32486e5797ac110d51099abf38bf1f81c451,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
496,3d147020c8d2beb5a52cb3b9ef89712f9e2c1939,/7.10/Dockerfile,"## install additional libs typically needed by hackage packages
#RUN apt-get update && \
#    apt-get install ${OPTS_APT} zlib1g-dev libtinfo-dev

## run ghci by default unless a command is specified
",1
548,3d147020c8d2beb5a52cb3b9ef89712f9e2c1939,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
#RUN apt-get update && \
#    apt-get install ${OPTS_APT} zlib1g-dev libtinfo-dev

## run ghci by default unless a command is specified
",1
580,8ad0891b1e2eebc2948423f8292d69711f7d7ae2,/Dockerfile,"## haskell package versions; can be overriden via context hacks
",1
594,a6e46b15a834d3d70335918adbac954c3a238c2d,/7.8/Dockerfile,"## install additional libs typically needed by hackage packages
",1
