,CommitID,Dockerfile,Comment
0,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Set the base image
"
1,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Import Lighstreamer's public key
"
2,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Set environment variables to identify the right Lightstreamer version and edition
"
3,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Set the temporary working dir
"
4,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Download the package from the Lightstreamer site and replace the fictitious jdk path with 
# the JAVA_HOME environment variable in the launch script file.
"
5,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Export TCP port 8080
"
6,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Set the final working dir
"
7,a4dbd7c3a58c91267f7dce17c961cf2cc93aeb20,/6.0.1_20150730/Dockerfile,"# Define the entry point
"
8,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Set the base image
"
9,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Set environment variables to identify the right Lightstreamer version
"
10,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Set the temporary working dir
"
11,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Install the required packages
"
12,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Import Lighstreamer's public key
"
13,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Download the distribution from the Lightstreamer site, verify the signature, and unpack
"
14,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Replace the fictitious jdk path with the JAVA_HOME environment variable in the launch script file
"
15,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Adjust the logging configuration in order to log only on standard output.
"
16,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Finally, remove no longer needed packages and files
"
17,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Export TCP port 8080
"
18,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Set the final working dir
"
19,0842a9d0397d1d4d6fbe157c9ffbbbd574c0c53b,/7.0/jre8-alpine/Dockerfile,"# Start the server
"
20,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Set the base image
"
21,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Import Lighstreamer's public key
"
22,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Set environment variables to identify the right Lightstreamer version and edition
"
23,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Set the temporary working dir
"
24,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Download the package from the Lightstreamer site, verify the signature, and unpack
"
25,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Replace the fictitious jdk path with the JAVA_HOME environment variable in the launch script file
"
26,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Adjust the logging configuration in order to log only on standard output
"
27,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Finally, remove no longer needed files
"
28,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Export TCP port 8080
"
29,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Set the final working dir
"
30,1d7b7f6279b6425d4fa95d49311b85e8f94c41ed,/7.0/jre8/Dockerfile,"# Start the server
"
31,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Set the base image
"
32,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Import Lighstreamer's public key
"
33,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Set environment variables to identify the right Lightstreamer version and edition
"
34,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Set the temporary working dir
"
35,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Download the package from the Lightstreamer site, verify the signature, and unpack
"
36,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Replace replace the fictitious jdk path with the JAVA_HOME environment variable in the launch script file
"
37,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Adjust the logging configuration in order to log only on standard output
"
38,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Finally, remove no longer needed files
"
39,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Export TCP port 8080
"
40,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Set the final working dir
"
41,6052ee3b655573261803af5600c391726c844a57,/7.0/jre8/Dockerfile,"# Start the server
"
42,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Set the base image
"
43,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Set JAVA_HOME environment variable to openjdk location
"
44,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Set environment variables to identify the right Lightstreamer version and edition
"
45,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Set the temporary working dir
"
46,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Download the package from the Lightstreamer site
"
47,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Replace the fictitious jdk path with the JAVA_HOME environment variable in the launch script file.
"
48,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Replace the factory TCP port (8080) in the configuration file.
"
49,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Export TCP port 80
"
50,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Set the final working dir
"
51,260424d6d724d3baac877ec0dd39a78361762672,/Dockerfile,"# Define the entry point
"
52,476e817232cc26d4b821b60cf8d28e4c9eb2cbeb,/6.0/Dockerfile,"# Set the base image
"
53,476e817232cc26d4b821b60cf8d28e4c9eb2cbeb,/6.0/Dockerfile,"# Import Lighstreamer's public key
"
54,476e817232cc26d4b821b60cf8d28e4c9eb2cbeb,/6.0/Dockerfile,"# Set environment variables to identify the right Lightstreamer version and edition
"
55,476e817232cc26d4b821b60cf8d28e4c9eb2cbeb,/6.0/Dockerfile,"# Set the temporary working dir
"
