,CommitID,Dockerfiles,Comments
0,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"#
# Install required and recommended programs for Silverpeas
#

# Installation of ImageMagick, Ghostscript, and then
# the dependencies required to build SWFTools and PDF2JSON
"
1,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Fetch and install SWFTools
"
2,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Fetch and install PDF2JSON
"
3,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"#
# Set up environment to install and to run Silverpeas
#

# Default locale of the platform. It can be overriden to build an image for a specific locale other than en_US.UTF-8.
"
4,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Generate locales and set the default one
"
5,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"#
# Install Silverpeas and Wildfly
#

# Set up environment variables for Silverpeas
"
6,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Fetch both Silverpeas and Wildfly and unpack them into /opt
"
7,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Copy the Maven settings.xml required to install Silverpeas by fetching the software bundles from 
# the Silverpeas Nexus Repository
"
8,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Set the default working directory
"
9,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Copy this container init script that will be run each time the container is ran
"
10,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# Assemble Silverpeas
"
11,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"#
# Expose image entries. By default, when running, the container will set up Silverpeas and Wildfly
# according to the host environment.
#

# Silverpeas listens port 8000 by default
"
12,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# The following Silverpeas folders are exposed by default so that you can access outside the container the logs, 
# the data, and the workflow definitions that are produced in Silverpeas.
"
13,80bd9752fac5793594ddc80943ecdcf88e25f3b1,/Dockerfile,"# What to execute by default when running the container
"
14,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"#
# Install required and recommended programs for Silverpeas
#

# Installation of ImageMagick, Ghostscript, LibreOffice, and then
# the dependencies required to build SWFTools and PDF2JSON
"
15,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Fetch and install SWFTools
"
16,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Fetch and install PDF2JSON
"
17,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"#
# Set up environment to install and to run Silverpeas
#

# Default locale of the platform. It can be overriden to build an image for a specific locale other than en_US.UTF-8.
"
18,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Generate locales and set the default one
"
19,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"#
# Install Silverpeas and Wildfly
#

# Set up environment variables for Silverpeas
"
20,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Fetch both Silverpeas and Wildfly and unpack them into /opt
"
21,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Copy the Maven settings.xml required to install Silverpeas by fetching the software bundles from 
# the Silverpeas Nexus Repository
"
22,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Set the default working directory
"
23,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Copy this container init script that will be run each time the container is ran
"
24,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# Assemble, pre-configure and install Silverpeas
"
25,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"#
# Expose image entries. By default, when running, the container will set up Silverpeas and Wildfly
# according to the host environment.
#

# Silverpeas listens port 8000 by default
"
26,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# The following Silverpeas folders are exposed by default so that you can access the logs, the data, the properties
# or the configuration of Silverpeas outside the container
"
27,35af9d88f66d84e4e26ebde6f59cabedfc66f387,/Dockerfile.template,"# What to execute by default when running the container
"
28,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"#
# Install required and recommended programs for Silverpeas
#

# Installation of LibreOffice, ImageMagick, Ghostscript, and then
# the dependencies required to run SWFTools and PDF2JSON
"
29,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"# Fetch and install SWFTools
"
30,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"# Fetch and install PDF2JSON
"
31,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"#
# Set up environment to install and to run Silverpeas
#

# Default locale of the platform. It can be overriden to build an image for a specific locale other than en_US.UTF-8.
"
32,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"# Generate locales and set the default one
"
33,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"#
# Install Silverpeas and Wildfly
#

# add a simple script that can auto-detect the appropriate JAVA_HOME value
# based on whether the JDK or only the JRE is installed
"
34,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"#!/bin/sh'; \
"
35,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"# do some fancy footwork to create a JAVA_HOME that's cross-architecture-safe
"
36,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"# Set up environment variables for Silverpeas
"
37,7d002ee69a68f8a8f640ce7fbf7fd47b526123d0,/Dockerfile.template,"# Fetch both Silverpeas and Wildfly and unpack them into /opt
"
